ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
PLACID|a.:peaceful; calm:평온한; 조용한|After his vacation in this placid section, he felt soothed and rested.|이 조용한 지역에서 방학을 보낸 후 그는 진정이 되었고 마음이 편해졌다.  참고:[+] composed, halcyon, poised, serene, tranquil
PLAGIARISM|n. plagi(=oblique):taking and using somebody's ideas, words, etc. as if they were one's own / theft of another's ideas or writings passed off as original:표절|He insisted that my new comosition is a plagiarism . ; The editor recognized the plagiarism and rebuked the culprit who had presented the manuscript as original.|그는 나의 새로은 작문이 표절 이라고 주장한다. ; 편집자는 표절을 알고서 원고를 독창적인 것으로 해서 제출한 위법자를 질책했다.  참고:
PLAGIARIZE|v.:steal another's ideas and pass them off as one's own:표절하다|The editor could tell that writer had plagiarized parts of the article; he could recognize whole paragraphs from the original source.|편집자는 그 작가가 기사 중 여러 부분을 표절하였음을 알 수 있었는데 그는 본래 출처의 모든 문장을 알아볼 수가 있었기 때문이다.  참고:
PLAINTIVE|a.:mournful:애처로운|The dove has a plaintive and melancholy call.|비둘기는 구슬프고 침울한 울음 소리를 지니고 있다.  참고:[+] doleful, dolorous, lamentable, lugubrious
PLANGENT|a.:plaintive; resounding sadly:구슬픈; 슬프게 들리는|Although we could not understand the words of the song, we got the impression from the plangent tones of the singers that it was a lament of some kind.|우리는 그 노래의 가사를 이해할 수 없었지만 가수들의 슬픈 음조에서 그 노래가 어떤 슬픈 노래라는 느낌을 받았다.  참고:
PLATITUDE|n.:trite remark; commonplace statement:진부한 말, 상투적인 말, 상투어; 평범한 의견|The platitudes in his speech were applauded by the vast majority in his audience; only a few people perceived how trite his remarks were.|그의 연설의 진부함은 대다수 청중에게서 갈채를 받았다. 소수의 사람들만이 그의 발언이 얼마나 진부한가를 알아챘다.  참고:[+] banality, cliche, prosaism; [-] original observation(독창적 소견)
PLATONIC|a.:purely spiritual; theoretical; without sensual desire:관념적인; 이론적인; 관능적인 욕구가 없는|Accused of impropriety in his dealings with female students, the professor maintained he had only a platonic interest in the women involved.|여학생들과의 교제에 있어 적합하지 않았다는 비난이 있자, 그 교수는 자기는 단지 관계된 그 여학생들에 대해 순수한 관심만 있었을 뿐이었다고 주장했다.  참고:
PLAUDITORY|a.:approving; applauding:수긍하는; 칭찬하는|The theatrical company the plauditory comments of the critics in its advertisement.|연극 회사는 광고에 비평가들의 찬사를 그대로 실었다.  참고:[+] laudatory
PLAUSIBLE|a. plaus(=strike) + ible(=capable of):seeming to be right or reasonable ; clever at producing convincing arguments, etc / having a show of truth but open to doubt; specious; believable,but doubtful:그럴듯한,정말같은,이치에 맞는 듯한 ; 말재주가 좋은 / 진실을 보이고 있지만 의심의 여지가 있는;|His explanation that he is failing math because "the teacher is down on me" doesn't seem plausible . ; Even though your argument is plausible, I still would like to have more proof.; Even though it is a plausible explanation,I am not completely convinced.|선생이 자기를 미워하기 때문에 수학에서 뒤떨어지고 있다는 그의 설명은 이치에 맞는 듯하지 않다. ; 당신의 주장이 그럴듯할지라도 나는 아직도 더 많은 증거를 원한다.  참고:[+] reasonable
PLEBEIAN|a.:common; pertaining to the common people:평범한; 평민의|His speeches were aimed at the plebeian minds and emotions; they disgusted the more refined.|그의 연설들은 속된 마음들과 정서들에 겨냥해서 보다 세련된 사람들에게 구역질 나게 했다.  참고:
PLEBISCITE|n.:expression of the will of a people by direct election:국민투표|I think this matter is so important that it should be decided not by a handful of legislators but by a plebiscite of the entire nation.|이 문제는 대단히 중요하므로 소수의 국회 의원들에 의해서 보다는 전 국민의 투표에 의해 결정되어야 한다고 생각한다.  참고:[+] referendum
PLENARY|a. plen(=fill) + ary(=relating to):unlimited ; absolute ; attended by all who have a right to attend / complete; full:<<권력, 권위가>>무제한의 ; 완전한, 절대적인 ; <<회의가>>전원출석의 / 충분한|Sitting before the fire, puffing his pipe, after an excellent meal, he was in a state of plenary contentment. ; The union leader was given plenary power to negotiate a new contract with the employers.|식사를 잘 하고 파이프 담배를 피우면서 난로불 앞에 앉아서 그는 완전히 만족한 상태였다. ; 노조 지도자는 고용주와 새 계약을 협상할 수 있는 전권을 부여 받았다.  참고:[+] absolute, thorough
PLENIPOTENTIARY|a.:fully empowered:전권을 가진|Since he was not given plenipotentiary powers by his government, he could not commit his country without consulting his superiors.|그는 정부로부터 전권을 받지 못했기 때문에 자기 상관들과 논의하지 않고는 자기 나라를 맡길 수가 없었다.  참고:[+] authorized
PLENITUDE|n.:abundance; completeness:풍부함; 완전함|Looking in the pantry, we admired the plenitude of fruits and pickles we had preserved during the summer.|식품창고를 둘러보면서 우리는 여름 내 저장했던 많은 양의 피클과 과일에 감탄했다.  참고:[+] affluence, opulence, plenty, profusion, sufficiency, entirety, wholeness
PLETHORA|n.:excess; overabundance:과잉; 과다|She offered a plethora of reasons for her shortcomings.|그녀는 자기의 부족한 점에 대해서 너무 많은 이유를 달았다.  참고:[+] superfluity, surplus; [-] dearth(부족, 기근); [-] scarcity(부족)
PLUCK|n.:excess; overabundance:과다, 과잉 / 용기|She offered a plethora of reasons for her shortcomings.|그녀는 자기의 부족한 점에 대해서 너무 많은 이유를 달았다.  참고:[+] superfluity, surplus
PLUMB|a.:checking perpendicularity; vertical:연추로 재는; 수직의|Before hanging wallpaper it is advisable to drop a plumb line from the ceiling as a guide.|벽지를 바르기 전에 지침으로써 천정에서 수직선을 내려 그어 보는 것이 바람직하다.  참고:[-] examine superficially(피상적으로 조사하다)
PODIATRIST|n.:doctor who treats ailments of the feet:족병(발) 전문의|He consulted a podiatrist about his fallen arches.|그는 그의 떨어진 아치에 대한 족병 전문의와 상담했다.  참고:[+] chiropodist
PODIUM|n.:pedestal; raised platform:낮은 벽; 지휘대; 연단|The audience applauded as the conductor made his way to the podium.|청중은 지휘자가 지휘대가 있는 곳으로 갔을 때 갈채를 보냈다.  참고:
POIGNANT|a.:keen; piercing; severe:예리한; 날카로운; 통렬한|Her poignant grief left her pale and weak.|그녀는 가슴에 사무치는 슬픔 때문에 창백하고 쇠약해졌다.  참고:[+] piquant, pungent
POLARIZE|v. pol(=axis of a sphere):cause to concentrate about two opposite, conflicting or contrasting positions / split into opposite extremes or camps:양극화 시키다 / 분열시키다|A "hard-line" speech of that kind may gain her the applause of her followers, but its overall effect will be to polarize ideas and feelings throughout the country and impair natinal unity. ; the abortion issue has polarized the country into pro-choice and antiabortion comps.|그런 "강경노선"의 연설은 그녀 추종자들의 박수는 받겠지만 전체적인 효과는 전국을 통해 사상과 감정을 양극화 시켜서 국민 화합을 손상시킬 것이다. ; 낙태 문제로 나락 낙태 찬성과 낙태 반대 진영으로 양분되었다.  참고:[+] dichotomize, separate
POLEMIC|n.:controversy; argument in support of point of view:논쟁; 논박|Her essays were, for the main part, polemics for the party's policy.|그녀 에세이의 주요 부분은 당 정책에 대한 반론이었다.  참고:[+] debate, disputation
POLITIC|a. polit(=city) + ic(=nature of):acting or judging wisely,prudent ; artful ; political / expedient; well devised:려깊은,분별있는,슬기로운 ; 책략적인,교활한 ; 국가의,정치상의|It is hardly politic for someone who hopes to win a popularity contest to go about making such brutally frank remarks. ; Even though he was disappointed, he did not think it politic to refuse this offer.|인기 경쟁에서 이기고자 하는 사람이 그렇게 잔인할 정도로 솔직한 말을 하는 것은 분별있는 일이 아니다. ; 그는 실망하지는 않았지만 이 제안을 거절하는 것은 현명하지 않다고 생각했다.  참고:[+] discreet, judicious
POLITY|n.:form of government of nation or state:정부형태; 정체|Our polity should be devoted to the concept that the government should strive for the good of all citizens.|우리 정체는 정부가 모든 국민의 이익을 위해 노력해야 한다는 개념에 충실해야 한다.  참고:
POLTROON|n.:coward:겁장이|Only a poltroon would so betray his comrades at such a dangerous time.|비겁한 사람만이 그런 위험한 시기에 동료들을 배신할 것이다.  참고:[+] dastard, craven
POLYGAMIST|n. gam(=marriage):man who practices polygamy / one who has more than one spouse at a time:일부다처론자 / 일부다처인 사람|The polygamist was confronted by his two wives. ; He was arrested as a polygamist when his two wives filed complaints about him.|그 일부다처자는 자기의 두 부인과 마주 대하게 되었다. ; 그의 두 아내가 고소하여 그는 일부다처자로 구속되었다.  참고:
POLYGLOT|n.a. glot(=tongue,language):polyglot person, or book / knowing, using, written in, many languages / speaking several languages:수개국어에 능통한 사람, 수개국어로 쓴 책 / 수개국어를 아는<쓰는>, 수개국어로 쓴 / 여러 나라 말을 하는, 수개 국어를 할 줄 아는|The polyglot spoke six languages fluently. ; New York City is a polyglot community because of the thousands of immigrants who settle there.|수 개 국어를 하는 그 사람은 여섯 가지 언어를 유창하게 구사한다. ; 뉴욕 시는 거기에 정착하는 수 천명의 이민자들 때문에 수개 국어가 사용되는 사회다.  참고:
POMMEL|v.:beat:치다|The severity with which he was pommeled was indicated by the bruises he displayed on his head and face.|그가 두들겨 맞은 가혹성은 그의 머리와 얼굴에 표시된 타박상들로 나타났다.  참고:
POMPOSITY|n.:self-important behavior; action like a stuffed shirt: 젠체함|Although the commencement speaker had some good things to say, we had to laugh at his pomposity and general air of parading his own dignity.|취임 연설을 하는 사람은 무엇인가 괜찮은 것을 말하겠지만 우리는 뻐기고 위엄을 과시하려는 전반적인 태도에 비웃지 않을 수 없었다.  참고:[+] bombast, ostentation
